school_code,school_name,school_type,charter_status,address,latitude,longitude,ward,census_tract,zipcode,marid,phone,choice_set,choice_set_schools,ms_choice_set,n_eligible,n_attending,sy12_enrollment,building_capacity,new_fp_ms,new_fp_hs,old_fp_ms,old_fp_hs,grades,esea
249,Hendley ES,Regular school,FALSE,425 Chesapeake St SE,38.82898591,-76.99918485,Ward 8,9811,20032,24445,202-645-3450,A,"[""249"",""266"",""294"",""315""]","[""413"",""416"",""417""]",531,187,339,515,413,452,413,452,"[""01"", ""02"", ""03"", ""04"", ""05"", ""KG"", ""PK"", ""PS""]",Priority
266,Leckie ES,Regular school,FALSE,4201 M L King Ave SW,38.82819678,-77.01289191,Ward 8,9807,20032,294592,202-645-3330,A,"[""249"",""266"",""294"",""315""]","[""413"",""416"",""417""]",411,160,344,400,413,452,413,452,"[""01"", ""02"", ""03"", ""04"", ""05"", ""KG"", ""PK"", ""PS""]",Rising
294,Patterson ES,Regular school,FALSE,4399 South Capitol Terr SW,38.82696636,-77.00848471,Ward 8,9807,20032,301073,202-939-5280,A,"[""249"",""266"",""294"",""315""]","[""413"",""416"",""417""]",467,134,330,370,413,452,413,452,"[""01"", ""02"", ""03"", ""04"", ""05"", ""KG"", ""PK"", ""PS""]",Priority
315,Simon ES,Regular school,FALSE,401 Mississippi Ave SE,38.83598054,-77.000195,Ward 8,9804,20032,294481,202-645-3360,A,"[""249"",""266"",""294"",""315""]","[""413"",""416"",""417""]",605,146,270,325,416,452,413,452,"[""01"", ""02"", ""03"", ""04"", ""05"", ""KG"", ""PK"", ""PS""]",Developing
308,Malcolm X ES at Green,Regular school,FALSE,1500 Mississippi Ave. SE,38.8416454,-76.98339857,Ward 8,7304,20032,294523,202-645-3409,B,"[""308"",""329"",""344""]","[""413"",""416"",""417""]",457,112,220,520,416,452,416,452,"[""01"", ""02"", ""03"", ""04"", ""05"", ""KG"", ""PK"", ""PS""]",Priority
329,Turner ES,Regular school,FALSE,3264 Stanton Rd SE,38.84763644,-76.98031323,Ward 8,7404,20032,294561,202-645-3470,B,"[""308"",""329"",""344""]","[""413"",""416"",""417""]",799,235,339,600,416,452,416,452,"[""01"", ""02"", ""03"", ""04"", ""05"", ""KG"", ""PK"", ""PS""]",Focus
344,M L King ES,Regular school,FALSE,3200 6th St SE,38.84244319,-76.99823899,Ward 8,9804,20032,294557,202-939-4900,B,"[""308"",""329"",""344""]","[""413"",""416"",""417""]",415,136,311,517,413,452,413,452,"[""01"", ""02"", ""03"", ""04"", ""05"", ""KG"", ""PK"", ""PS""]",Focus
206,Beers ES,Regular school,FALSE,3600 Alabama Ave SE,38.86434984,-76.95560475,Ward 7,7604,20020,278406,202-939-4800,C,"[""206"",""238"",""319""]","[""421"",""427""]",388,127,384,465,427,450,427,450,"[""01"", ""02"", ""03"", ""04"", ""05"", ""KG"", ""PK"", ""PS""]",Rising
238,Garfield ES,Regular school,FALSE,2435 Alabama Ave SE,38.85173338,-76.97080478,Ward 8,7408,20020,278160,202-671-6140,C,"[""206"",""238"",""319""]","[""413"",""416"",""417""]",808,154,245,365,416,452,416,452,"[""01"", ""02"", ""03"", ""04"", ""05"", ""KG"", ""PK"", ""PS""]",Priority
319,Stanton ES,Regular school,FALSE,2701 Naylor Rd SE,38.85927211,-76.96849023,Ward 8,7502,20020,294547,202-671-6180,C,"[""206"",""238"",""319""]","[""413"",""416"",""417""]",734,233,391,500,417,450,417,450,"[""01"", ""02"", ""03"", ""04"", ""05"", ""KG"", ""PK"", ""PS""]",Priority
257,Ketcham ES,Regular school,FALSE,1919 15th St SE,38.86604269,-76.98362116,Ward 8,7503,20020,286537,202-698-1122,D,"[""257"",""285"",""307""]","[""413"",""416"",""417""]",548,107,260,465,417,450,417,450,"[""01"", ""02"", ""03"", ""04"", ""05"", ""KG"", ""PK"", ""PS""]",Reward
